"ID","CN","CAPT","SRC","OUTERID","SCORE"
"25aff01f-be63-4eed-abf7-48314b177ac7","Chile","Santiago","GN","d2616a40-4d24-4523-9707-af7dd60c146d","9.8091545"
"4e0058b7-7c5f-4cb1-913c-ea4b525bcb76","Cameroon","Yaounde","GN","7bcbcc6b-1e2c-4ba5-ba54-d118b3933639","9.742651"
"2799552b-f5b7-4610-9502-beb0b43beb0e","China","Beijing","GN","ddba2b41-927b-4c23-bc66-6cd0b0e62922","9.742651"
"ecce51fd-2c36-4c34-a905-448ee5ead261","Colombia","Bogota","GN","b364c0ee-d385-4398-bb01-bf141e0e63db","9.713965"
"e3f21d68-fb03-4234-a4a6-333e76fdbc0f","Costa Rica","San Jose","GN",,
"8f08a3e0-8a27-40f9-ad77-dd99b4cebd52","Cuba","Havana","GN","9aaf7520-1d02-4dab-95e2-d314ca13e99d","9.8091545"
"8333ea63-ca17-4a96-8a37-09d82dbd497c","Cabo Verde","Praia","GN","46bb2f73-2d33-4810-bc9b-5eb8acd3f1e1","12.070482"
"1fa2392a-bd28-4c04-bcd6-0fa1c0c2109c","Cura̤ao","Willemstad","GN",,
"5d62bee4-c89b-4bce-8c67-de06d375e97d","Christmas Island","Flying Fish Cove","GN",,
"8cfecd7c-ae48-48da-8d8a-cf4a4dffa237","Cyprus","Nicosia","GN","c863a931-ea51-4067-95d8-26a18c2e61f8","9.713965"
"0d2d10a5-3f76-448e-88b7-e30e742d25a2","Czechia","Prague","GN","42607ae3-097a-45bf-9419-8f77a2b062d4","9.815064"
"e6b7b4ff-a345-43f1-b1d5-9ccefd04199d","Germany","Berlin","GN","de332e4a-3856-49cb-ae78-34acee6efb4f","9.713965"
"f5bfcc77-3e9e-40f5-b767-86e726f49fff","Djibouti","Djibouti","GN","8857012e-00f5-440c-a93d-1e8588283332","9.8091545"
"1bdd32dd-660c-4041-81ba-ed73690f2bbd","Denmark","Copenhagen","GN","3445641d-1c97-4c96-962c-77aefeab511f","8.634249"
"f85fe97f-a982-4e5a-adac-db45e1e68c89","Dominica","Roseau","GN","97d97afc-ea87-4b03-87de-66e35ec3cd0e","9.850367"
"d6b0852e-cfe6-41a3-b538-8d2733da16e8","Dominican Republic","Santo Domingo","GN","06eda4f2-3883-4f46-bafe-373e57fa3de6","11.00905"
"f706842c-97c0-4bcd-b1ee-7f2440043f67","Algeria","Algiers","GN","3e6f874d-fa07-4796-a611-3220643a35ad","8.662884"
"eb93d401-e1fa-4703-81c7-a343d326bcfb","Ecuador","Quito","GN","07396c2c-0498-4228-930a-d48bf0482892","9.713965"
"be6ee77c-23d2-44c2-ba2c-3a2d888a1ad9","Estonia","Tallinn","GN","68dad536-a548-47a6-8803-a705232b178d","9.713965"
"c32b05a9-8424-48dd-b8f1-332628fd9b97","Egypt","Cairo","GN","5a2bfcb3-89de-4e9b-8eea-7f6fc736150b","6.461259"
"1f5e15d8-bade-448b-bf44-5cd88eba950e","Western Sahara","El-Aaiun","GN",,
"5b2e87df-38bc-4483-8f50-e29fbfa109b4","Eritrea","Asmara","GN","a63016d1-77ab-4783-a86b-9b64330cd5e5","8.634249"
"9380040b-83cf-4ea9-a4d0-4e784fa4af23","Spain","Madrid","GN","80dafb77-bbe1-47d1-9e3a-42f6bac86b1c","9.815064"
